Title,Price,Condition,Mileage,Year,Engine Capacity
Volkswagen TIGUAN 4Motion 7Seater DCC Mode P/Boot,"RM 142,900",Used,20000 - 24999,2023,1998cc
2016 Toyota VELLFIRE 2.5 ZA Modellista Kit 2P/Door,"RM 120,900",Used,70000 - 74999,2016,2493cc
2017 Perodua ALZA 1.5 ZV ADVANCED FACELIFT (A),"RM 39,800",Used,100000 - 109999,N/A,1495cc
2022 Nissan NAVARA PRO-4X 2.5L (A) LOW MILEAGE CAR,"RM 97,800",Used,20000 - 24999,N/A,2488cc
2020 Mazda CX-5 2.5 TURBO GLS (A) ORI MILEAGE,"RM 107,800",Used,95000 - 99999,N/A,2488cc
2016 Mercedes Benz C200 AVANTGARDE 2.0 (A) - PROMO,"RM 86,800",Used,85000 - 89999,2016,1991cc
M Benz C200 CGI BlueEFCY ELGNCE 1.8 W204 AMG SPORT,"RM 30,800",Used,100000 - 109999,2010,1796cc
X70 BULAN RAMADAN RAYA DISKAUN TETiNGI FAST STOCK,"RM 102,800",New,0 - 4999,N/A,1477cc
X70  RAYA OFFER NAK CASH REBAT TERTiNGGI SILA CALL,"RM 102,800",New,0 - 4999,N/A,1477cc
2023 Toyota LANDCRUISER PRADO 2.8 TX-L DIESEL,"RM 315,000",Recon,0 - 4999,N/A,2754cc
2015 Toyota CAMRY 2.5 HYBRID FACELIFT (A),"RM 56,800",Used,100000 - 109999,N/A,2494cc
NEGO Range Rover Vogue 5.0 Autobiography V8 LWB,"RM 670,000",Recon,35000 - 39999,N/A,5000cc
2023 Toyota ALPHARD 2.5 Z HUD SR 5A,"RM 339,700",Recon,0 - 4999,N/A,2493cc
2020-Nissan NAVARA SE 2.5 (A)NP300 4WD,"RM 57,990",Used,60000 - 64999,N/A,2488cc
2018 Honda CR-V 2.0 2WD Kah Motor 90k km 1Yr Wrnty,"RM 76,800",Used,90000 - 94999,2018,1997cc
2020 Toyota ALPHARD 2.5 SC roof monitor 3 led,"RM 201,700",Recon,35000 - 39999,N/A,2493cc
