Title,Price,Condition,Mileage,Year,Engine Capacity,Brand,Model
Volkswagen TIGUAN 4Motion 7Seater DCC Mode P/Boot,142900.0,Used,22499,2023.0,1998.0,Volkswagen,TIGUAN
2016 Toyota VELLFIRE 2.5 ZA Modellista Kit 2P/Door,120900.0,Used,72499,2016.0,2493.0,Toyota,VELLFIRE
2017 Perodua ALZA 1.5 ZV ADVANCED FACELIFT (A),39800.0,Used,104999,,1495.0,Perodua,ALZA
2022 Nissan NAVARA PRO-4X 2.5L (A) LOW MILEAGE CAR,97800.0,Used,22499,,2488.0,Nissan,NAVARA
2020 Mazda CX-5 2.5 TURBO GLS (A) ORI MILEAGE,107800.0,Used,97499,,2488.0,Mazda,CX-5
2016 Mercedes Benz C200 AVANTGARDE 2.0 (A) - PROMO,86800.0,Used,87499,2016.0,1991.0,Mercedes,Benz
M Benz C200 CGI BlueEFCY ELGNCE 1.8 W204 AMG SPORT,30800.0,Used,104999,2010.0,1796.0,Unknown,Unknown
X70 BULAN RAMADAN RAYA DISKAUN TETiNGI FAST STOCK,102800.0,New,2499,,1477.0,Unknown,Unknown
X70  RAYA OFFER NAK CASH REBAT TERTiNGGI SILA CALL,102800.0,New,2499,,1477.0,Unknown,Unknown
2023 Toyota LANDCRUISER PRADO 2.8 TX-L DIESEL,315000.0,Recon,2499,,2754.0,Toyota,LANDCRUISER
2015 Toyota CAMRY 2.5 HYBRID FACELIFT (A),56800.0,Used,104999,,2494.0,Toyota,CAMRY
NEGO Range Rover Vogue 5.0 Autobiography V8 LWB,670000.0,Recon,37499,,5000.0,Unknown,Unknown
2023 Toyota ALPHARD 2.5 Z HUD SR 5A,339700.0,Recon,2499,,2493.0,Toyota,ALPHARD
2020-Nissan NAVARA SE 2.5 (A)NP300 4WD,57990.0,Used,62499,,2488.0,Nissan,NAVARA
2018 Honda CR-V 2.0 2WD Kah Motor 90k km 1Yr Wrnty,76800.0,Used,92499,2018.0,1997.0,Honda,CR-V
