city,longitude,latitude,temperature,temp_min,temp_max,humidity,pressure,weather_description,wind_speed,timestamp
Johor Bahru,103.7578,1.4655,29.08,28.06,30.5,70,1008,broken clouds,1.03,2025-10-29 20:23:13
Alor Star,100.3601,6.121,26.99,26.66,26.99,83,1009,scattered clouds,2.68,2025-10-29 20:23:13
Kota Bharu,102.2386,6.1333,27.97,27.97,27.97,83,1008,few clouds,3.09,2025-10-29 20:23:13
Malacca,102.2405,2.196,29.46,29.46,30.02,84,1009,few clouds,1.54,2025-10-29 20:23:13
Seremban,101.9381,2.7297,28.73,28.73,28.73,70,1009,overcast clouds,1.84,2025-10-29 20:23:13
Kuantan,103.326,3.8077,29.06,29.06,29.06,84,1008,few clouds,1.03,2025-10-29 20:23:13
Ipoh,101.0829,4.5841,28.95,28.95,28.95,65,1009,few clouds,2.06,2025-10-29 20:23:13
Kangar,100.1986,6.4414,26.95,26.95,26.95,82,1009,light rain,4.77,2025-10-29 20:23:13
George Town,100.3354,5.4112,27.8,26.96,27.97,74,1009,few clouds,2.68,2025-10-29 20:23:13
Kota Kinabalu,116.0724,5.9749,26.99,26.6,26.99,83,1011,few clouds,1.54,2025-10-29 20:23:13
Kuching,110.3333,1.55,30.12,28.4,30.12,74,1009,scattered clouds,1.54,2025-10-29 20:23:13
Shah Alam,101.5328,3.0851,28.8,26.63,28.84,75,1009,few clouds,2.57,2025-10-29 20:23:13
Kuala Terengganu,103.1408,5.3302,26.97,26.97,26.97,94,1008,few clouds,1.03,2025-10-29 20:23:13
Kuala Lumpur,101.6865,3.1431,28.47,26.54,28.75,48,1009,few clouds,2.57,2025-10-29 20:23:13
Putrajaya,101.6911,2.9353,28.17,28.08,28.94,41,1009,overcast clouds,1.67,2025-10-29 20:23:13
Labuan,115.2417,5.2767,28.2,28.2,28.2,83,1010,few clouds,0.51,2025-10-29 20:23:13
Johor Bahru,103.7578,1.4655,28.78,27.83,29.95,72,1009,broken clouds,1.03,2025-10-29 20:38:14
Alor Star,100.3601,6.121,26.99,26.66,26.99,83,1010,scattered clouds,2.68,2025-10-29 20:38:14
Kota Bharu,102.2386,6.1333,27.97,27.97,27.97,83,1009,few clouds,3.09,2025-10-29 20:38:14
Malacca,102.2405,2.196,30.02,30.02,30.02,74,1010,few clouds,1.54,2025-10-29 20:38:14
Seremban,101.9381,2.7297,28.73,28.73,28.73,75,1010,overcast clouds,2.0,2025-10-29 20:38:14
Kuantan,103.326,3.8077,28.93,28.93,29.06,83,1009,few clouds,1.03,2025-10-29 20:38:14
Ipoh,101.0829,4.5841,28.95,28.95,28.95,65,1011,few clouds,2.06,2025-10-29 20:38:14
Kangar,100.1986,6.4414,26.98,26.98,26.98,83,1010,light rain,4.52,2025-10-29 20:38:14
George Town,100.3354,5.4112,27.8,26.96,27.97,74,1010,few clouds,2.68,2025-10-29 20:38:14
Kota Kinabalu,116.0724,5.9749,26.99,26.6,26.99,83,1012,few clouds,1.54,2025-10-29 20:38:14
Kuching,110.3333,1.55,30.12,28.4,30.12,74,1010,scattered clouds,1.54,2025-10-29 20:38:14
Shah Alam,101.5328,3.0851,28.8,26.63,28.84,75,1010,few clouds,2.57,2025-10-29 20:38:14
Kuala Terengganu,103.1408,5.3302,26.97,26.97,26.97,94,1009,few clouds,1.03,2025-10-29 20:38:14
Kuala Lumpur,101.6865,3.1431,27.46,26.54,28.75,49,1010,few clouds,2.57,2025-10-29 20:38:15
Putrajaya,101.6911,2.9353,27.66,27.52,28.94,41,1010,overcast clouds,1.94,2025-10-29 20:38:15
Labuan,115.2417,5.2767,28.2,28.2,28.2,83,1011,few clouds,0.51,2025-10-29 20:38:15
Johor Bahru,103.7578,1.4655,28.78,27.83,29.95,72,1009,broken clouds,1.03,2025-10-29 20:53:15
Alor Star,100.3601,6.121,26.99,26.66,26.99,83,1010,moderate rain,2.68,2025-10-29 20:53:15
Kota Bharu,102.2386,6.1333,27.77,27.77,27.97,83,1009,few clouds,3.13,2025-10-29 20:53:15
Malacca,102.2405,2.196,30.02,30.01,30.02,74,1010,few clouds,1.54,2025-10-29 20:53:15
Seremban,101.9381,2.7297,27.73,27.73,27.73,75,1010,overcast clouds,2.0,2025-10-29 20:53:15
Kuantan,103.326,3.8077,28.93,28.93,29.06,83,1009,few clouds,1.03,2025-10-29 20:53:15
Ipoh,101.0829,4.5841,28.95,28.95,28.95,65,1011,few clouds,2.06,2025-10-29 20:53:15
Kangar,100.1986,6.4414,26.98,26.98,26.98,83,1010,light rain,4.52,2025-10-29 20:53:15
George Town,100.3354,5.4112,27.8,26.64,27.97,74,1010,few clouds,2.68,2025-10-29 20:53:15
Kota Kinabalu,116.0724,5.9749,26.99,26.99,26.99,89,1012,few clouds,1.03,2025-10-29 20:53:15
Kuching,110.3333,1.55,29.12,27.85,29.12,79,1010,scattered clouds,1.03,2025-10-29 20:53:15
Shah Alam,101.5328,3.0851,28.78,28.54,28.84,74,1010,few clouds,2.68,2025-10-29 20:53:15
Kuala Terengganu,103.1408,5.3302,26.97,26.64,26.97,94,1009,few clouds,1.03,2025-10-29 20:53:16
Kuala Lumpur,101.6865,3.1431,27.46,26.54,28.75,48,1010,few clouds,2.57,2025-10-29 20:53:16
Putrajaya,101.6911,2.9353,27.56,27.52,28.94,40,1010,overcast clouds,1.94,2025-10-29 20:53:16
Labuan,115.2417,5.2767,28.2,28.2,28.2,83,1011,few clouds,0.51,2025-10-29 20:53:16
Johor Bahru,103.7578,1.4655,28.78,27.83,29.95,74,1009,broken clouds,1.54,2025-10-29 21:08:16
Alor Star,100.3601,6.121,27.1,27.1,27.1,84,1010,overcast clouds,3.47,2025-10-29 21:08:16
Kota Bharu,102.2386,6.1333,27.77,27.77,27.97,83,1009,few clouds,3.13,2025-10-29 21:08:16
Malacca,102.2405,2.196,28.91,28.91,28.91,90,1010,overcast clouds,4.21,2025-10-29 21:08:16
Seremban,101.9381,2.7297,27.73,27.73,27.73,75,1010,overcast clouds,2.0,2025-10-29 21:08:16
Kuantan,103.326,3.8077,28.93,28.93,29.06,83,1009,few clouds,1.03,2025-10-29 21:08:16
Ipoh,101.0829,4.5841,26.8,26.8,26.8,77,1011,overcast clouds,1.21,2025-10-29 21:08:16
